route_short_name	trip_id	stop_sequence	stop_id	stop_name	departure_time
1	4019	19	U163Z2	Hradcanska	16:01
1	4019	20	U592Z2	Prasny most	16:03
1	4019	21	U867Z2	Vozovna Stresovice	16:04
1	4019	22	U645Z2	Sibeliova	16:06
1	4019	23	U519Z2	Orechovka	16:07
1	4019	24	U15Z2	Baterie	16:08
1	4019	25	U858Z2	Vojenska nemocnice	16:10
1	4019	26	U844Z2	Vetrnik	16:11
1	4019	27	U507Z2	Petriny	16:12
1	4019	28	U541Z2	Sidliste Petriny	16:16
1	4020	1	U541Z1	Sidliste Petriny	16:22
1	4020	2	U507Z1	Petriny	16:23
1	4020	3	U844Z1	Vetrnik	16:24
1	4020	4	U858Z1	Vojenska nemocnice	16:25
1	4020	5	U15Z1	Baterie	16:27
1	4020	6	U519Z1	Orechovka	16:28
1	4020	7	U645Z1	Sibeliova	16:29
1	4020	8	U867Z1	Vozovna Stresovice	16:30
1	4020	9	U592Z1	Prasny most	16:32
1	4020	10	U163Z1	Hradcanska	16:34
1	4020	11	U692Z1	Sparta	16:36
1	4020	12	U324Z1	Letenske namesti	16:38
1	4020	13	U231Z1	Kamenicka	16:39
1	4020	14	U717Z1	Strossmayerovo namesti	16:41
1	4020	15	U100Z2	Vltavska	16:43
1	4020	16	U595Z2	Prazska trznice	16:44
1	4020	17	U81Z2	Delnicka	16:46
1	4020	18	U365Z2	Maniny	16:48
1	4020	19	U331Z2	Libensky most	16:50
1	4020	20	U529Z1	Palmovka	16:52
1	4020	21	U1074Z2	Krejcarek	16:55
1	4020	22	U512Z2	Ohrada	16:58
1	4020	23	U837Z2	Vozovna Zizkov	16:59
1	4038	13	U100Z1	Vltavska	16:00
1	4038	14	U717Z2	Strossmayerovo namesti	16:01
1	4038	15	U231Z2	Kamenicka	16:03
1	4038	16	U324Z2	Letenske namesti	16:04
1	4038	17	U262Z2	Korunovacni	16:05
1	4038	18	U692Z2	Sparta	16:06
1	4038	19	U163Z2	Hradcanska	16:09
1	4038	20	U592Z2	Prasny most	16:11
1	4038	21	U867Z2	Vozovna Stresovice	16:12
1	4038	22	U645Z2	Sibeliova	16:14
1	4038	23	U519Z2	Orechovka	16:15
1	4038	24	U15Z2	Baterie	16:16
1	4038	25	U858Z2	Vojenska nemocnice	16:18
1	4038	26	U844Z2	Vetrnik	16:19
1	4038	27	U507Z2	Petriny	16:20
1	4038	28	U541Z2	Sidliste Petriny	16:24
1	4039	1	U541Z1	Sidliste Petriny	16:30
1	4039	2	U507Z1	Petriny	16:31
1	4039	3	U844Z1	Vetrnik	16:32
1	4039	4	U858Z1	Vojenska nemocnice	16:33
1	4039	5	U15Z1	Baterie	16:35
1	4039	6	U519Z1	Orechovka	16:36
1	4039	7	U645Z1	Sibeliova	16:37
1	4039	8	U867Z1	Vozovna Stresovice	16:38
1	4039	9	U592Z1	Prasny most	16:40
1	4039	10	U163Z1	Hradcanska	16:42
1	4039	11	U692Z1	Sparta	16:44
1	4039	12	U324Z1	Letenske namesti	16:46
1	4039	13	U231Z1	Kamenicka	16:47
1	4039	14	U717Z1	Strossmayerovo namesti	16:49
1	4039	15	U100Z2	Vltavska	16:51
1	4039	16	U595Z2	Prazska trznice	16:52
1	4039	17	U81Z2	Delnicka	16:54
1	4039	18	U365Z2	Maniny	16:56
1	4039	19	U331Z2	Libensky most	16:58
1	4054	9	U331Z1	Libensky most	16:01
1	4054	10	U365Z1	Maniny	16:03
1	4054	11	U81Z3	Tusarova	16:04
1	4054	12	U595Z1	Prazska trznice	16:06
1	4054	13	U100Z1	Vltavska	16:08
1	4054	14	U717Z2	Strossmayerovo namesti	16:09
1	4054	15	U231Z2	Kamenicka	16:11
1	4054	16	U324Z2	Letenske namesti	16:12
1	4054	17	U262Z2	Korunovacni	16:13
1	4054	18	U692Z2	Sparta	16:14
1	4054	19	U163Z2	Hradcanska	16:17
1	4054	20	U592Z2	Prasny most	16:19
1	4054	21	U867Z2	Vozovna Stresovice	16:20
1	4054	22	U645Z2	Sibeliova	16:22
1	4054	23	U519Z2	Orechovka	16:23
1	4054	24	U15Z2	Baterie	16:24
1	4054	25	U858Z2	Vojenska nemocnice	16:26
1	4054	26	U844Z2	Vetrnik	16:27
1	4054	27	U507Z2	Petriny	16:28
1	4054	28	U541Z2	Sidliste Petriny	16:32
1	4055	1	U541Z1	Sidliste Petriny	16:38
1	4055	2	U507Z1	Petriny	16:39
1	4055	3	U844Z1	Vetrnik	16:40
1	4055	4	U858Z1	Vojenska nemocnice	16:41
1	4055	5	U15Z1	Baterie	16:43
1	4055	6	U519Z1	Orechovka	16:44
1	4055	7	U645Z1	Sibeliova	16:45
1	4055	8	U867Z1	Vozovna Stresovice	16:46
1	4055	9	U592Z1	Prasny most	16:48
1	4055	10	U163Z1	Hradcanska	16:50
1	4055	11	U692Z1	Sparta	16:52
1	4055	12	U324Z1	Letenske namesti	16:54
1	4055	13	U231Z1	Kamenicka	16:55
1	4055	14	U717Z1	Strossmayerovo namesti	16:57
1	4055	15	U100Z2	Vltavska	16:59
1	4077	5	U837Z1	Vozovna Zizkov	16:00
1	4077	6	U512Z1	Ohrada	16:01
1	4077	7	U1074Z1	Krejcarek	16:04
1	4077	8	U529Z3	Palmovka	16:07
1	4077	9	U331Z1	Libensky most	16:09
1	4077	10	U365Z1	Maniny	16:11
1	4077	11	U81Z3	Tusarova	16:12
1	4077	12	U595Z1	Prazska trznice	16:14
1	4077	13	U100Z1	Vltavska	16:16
1	4077	14	U717Z2	Strossmayerovo namesti	16:17
1	4077	15	U231Z2	Kamenicka	16:19
1	4077	16	U324Z2	Letenske namesti	16:20
1	4077	17	U262Z2	Korunovacni	16:21
1	4077	18	U692Z2	Sparta	16:22
1	4077	19	U163Z2	Hradcanska	16:25
1	4077	20	U592Z2	Prasny most	16:27
1	4077	21	U867Z2	Vozovna Stresovice	16:28
1	4077	22	U645Z2	Sibeliova	16:30
1	4077	23	U519Z2	Orechovka	16:31
1	4077	24	U15Z2	Baterie	16:32
