,exp_name,model_name,PCA-Dip,Hopkins
0,Skupina 1,"tf-idf_(1,1)",0.00100,0.02315
1,Skupina 1,"tf-idf_(1,2)",0.00100,0.02323
2,Skupina 1,"tf-idf_(1,3)",0.00100,0.02229
3,Skupina 1,"tf-idf_(1,4)",0.00100,0.02296
4,Skupina 1,"tf-idf_(1,5)",0.00100,0.02348
5,Skupina 1,"tf-idf_(2,2)",0.00100,0.02205
6,Skupina 1,"tf-idf_(2,3)",0.00100,0.02452
7,Skupina 1,"tf-idf_(2,4)",0.00100,0.02220
8,Skupina 1,"tf-idf_(2,5)",0.00100,0.02292
9,Skupina 1,"tf-idf_(3,3)",0.00100,0.02123
10,Skupina 1,"tf-idf_(3,4)",0.00100,0.02297
11,Skupina 1,"tf-idf_(3,5)",0.00100,0.02323
12,Skupina 1,"tf-idf_(4,4)",0.00100,0.02182
13,Skupina 1,"tf-idf_(4,5)",0.00100,0.02164
14,Skupina 1,"tf-idf_(5,5)",0.00100,0.02286
15,Skupina 1,word2vec_25_10,0.00100,0.08505
16,Skupina 1,word2vec_25_25,0.00100,0.11156
17,Skupina 1,word2vec_25_50,0.00100,0.13291
18,Skupina 1,word2vec_25_100,0.00100,0.14952
19,Skupina 1,word2vec_50_10,0.00100,0.08046
20,Skupina 1,word2vec_50_25,0.00100,0.11238
21,Skupina 1,word2vec_50_50,0.00100,0.13183
22,Skupina 1,word2vec_50_100,0.00100,0.14967
23,Skupina 1,word2vec_100_10,0.00100,0.07413
24,Skupina 1,word2vec_100_25,0.00100,0.10824
25,Skupina 1,word2vec_100_50,0.00100,0.12479
26,Skupina 1,word2vec_100_100,0.00100,0.14137
27,Skupina 1,word2vec_200_10,0.00100,0.07073
28,Skupina 1,word2vec_200_25,0.00100,0.10416
29,Skupina 1,word2vec_200_50,0.00100,0.11933
30,Skupina 1,word2vec_200_100,0.00100,0.13340
31,Skupina 1,doc2vec_25_10,1.00000,0.17825
32,Skupina 1,doc2vec_25_50,1.00000,0.22441
33,Skupina 1,doc2vec_25_100,1.00000,0.22902
34,Skupina 1,doc2vec_25_200,1.00000,0.23616
35,Skupina 1,doc2vec_25_500,1.00000,0.23649
36,Skupina 1,doc2vec_50_10,1.00000,0.18800
37,Skupina 1,doc2vec_50_50,1.00000,0.23366
38,Skupina 1,doc2vec_50_100,1.00000,0.24296
39,Skupina 1,doc2vec_50_200,1.00000,0.23704
40,Skupina 1,doc2vec_50_500,0.95804,0.23671
41,Skupina 1,doc2vec_100_10,1.00000,0.19017
42,Skupina 1,doc2vec_100_50,1.00000,0.22489
43,Skupina 1,doc2vec_100_100,1.00000,0.21928
44,Skupina 1,doc2vec_100_200,1.00000,0.21911
45,Skupina 1,doc2vec_100_500,1.00000,0.21542
46,Skupina 1,doc2vec_200_10,1.00000,0.17938
47,Skupina 1,doc2vec_200_50,1.00000,0.21311
48,Skupina 1,doc2vec_200_100,0.99101,0.20863
49,Skupina 1,doc2vec_200_200,0.99900,0.21086
50,Skupina 1,doc2vec_200_500,1.00000,0.20844
51,Skupina 1,doc2vec_300_10,1.00000,0.17585
52,Skupina 1,doc2vec_300_50,1.00000,0.21087
53,Skupina 1,doc2vec_300_100,1.00000,0.21232
54,Skupina 1,doc2vec_300_200,1.00000,0.20993
55,Skupina 1,doc2vec_300_500,1.00000,0.20861
56,Skupina 2,"tf-idf_(1,1)",0.00100,0.02293
57,Skupina 2,"tf-idf_(1,2)",0.00100,0.02264
58,Skupina 2,"tf-idf_(1,3)",0.00100,0.02382
59,Skupina 2,"tf-idf_(1,4)",0.00100,0.02160
60,Skupina 2,"tf-idf_(1,5)",0.00100,0.02267
61,Skupina 2,"tf-idf_(2,2)",0.00100,0.02144
62,Skupina 2,"tf-idf_(2,3)",0.00100,0.02182
63,Skupina 2,"tf-idf_(2,4)",0.00100,0.02308
64,Skupina 2,"tf-idf_(2,5)",0.00100,0.02302
65,Skupina 2,"tf-idf_(3,3)",0.00100,0.02204
66,Skupina 2,"tf-idf_(3,4)",0.00100,0.02241
67,Skupina 2,"tf-idf_(3,5)",0.00100,0.02341
