,experiment_name,model_name,score
0,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_10,0.11260
1,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_5,0.10658
2,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_25,0.10363
3,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_50,0.09830
4,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_25,0.09463
5,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_10,0.09382
6,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_5,0.09114
7,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_50,0.08974
8,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_10,0.08930
9,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_50,0.08888
10,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_5,0.08877
11,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_25,0.08450
12,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_25,0.08361
13,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_50,0.08060
14,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_10,0.07845
15,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_5,0.07668
16,ud_pipe_czech_text,word2vec_200_10,0.07415
17,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_10,0.07359
18,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_25,0.07354
19,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_25,0.07136
20,ud_pipe_czech_text,word2vec_200_25,0.07135
21,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_50,0.07106
22,ud_pipe_nazev_anotace_stopwords,word2vec_200_10,0.07093
23,ud_pipe_nazev_anotace_stopwords,word2vec_200_25,0.06954
24,ud_pipe_nazev_anotace_stopwords,word2vec_200_5,0.06933
25,ud_pipe_czech_text,word2vec_200_50,0.06836
26,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_5,0.06810
27,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_10,0.06806
28,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_25,0.06787
29,ud_pipe_nazev_anotace_stopwords,word2vec_200_50,0.06702
30,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_25,0.06685
31,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_10,0.06606
32,ud_pipe_nazev_anotace_stopwords,fasttext_200_25,0.06573
33,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_10,0.06543
34,ud_pipe_czech_text,word2vec_200_100,0.06480
35,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_50,0.06476
36,ud_pipe_nazev_anotace_stopwords,fasttext_200_10,0.06462
37,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_50,0.06432
38,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_5,0.06361
39,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_25,0.06299
40,ud_pipe_nazev_anotace_stopwords,fasttext_200_5,0.06261
41,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_10,0.06240
42,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_25,0.06110
43,ud_pipe_nazev_anotace_stopwords,fasttext_200_50,0.06074
44,ud_pipe_nazev_anotace_stopwords,word2vec_100_10,0.06073
45,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_5,0.06068
46,ud_pipe_czech_text,word2vec_100_10,0.06020
47,ud_pipe_nazev_anotace_stopwords,word2vec_100_5,0.06014
48,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_25,0.06014
49,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_50,0.06001
50,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_10,0.05970
51,ud_pipe_nazev_anotace_stopwords,word2vec_100_25,0.05891
52,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_25_50,0.05831
53,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_50,0.05811
54,ud_pipe_czech_text,word2vec_100_100,0.05790
55,ud_pipe_nazev_anotace_stopwords,word2vec_100_50,0.05750
56,ud_pipe_czech_text,word2vec_100_25,0.05749
57,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_25_50,0.05745
58,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_5,0.05623
59,ud_pipe_nazev_anotace_stopwords,fasttext_100_25,0.05576
60,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,1)",0.05570
61,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,2)",0.05570
62,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,3)",0.05570
63,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,4)",0.05570
64,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,"tf-idf_(1,5)",0.05570
