,experiment_name,model_name,score
0,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_10,0.10500
1,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_5,0.10196
2,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_25,0.09930
3,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_200_50,0.09437
4,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_10,0.08947
5,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_25,0.08924
6,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_50,0.08610
7,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_5,0.08429
8,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_5,0.08408
9,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_200_50,0.08347
10,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_10,0.08298
11,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_100_25,0.08062
12,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_25,0.07998
13,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_50,0.07758
14,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_10,0.07542
15,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_100_5,0.07180
16,ud_pipe_czech_text,word2vec_200_10,0.07009
17,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_10,0.06851
18,ud_pipe_czech_text,word2vec_200_25,0.06805
19,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_25,0.06786
20,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_50,0.06641
21,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_25,0.06625
22,ud_pipe_czech_text,word2vec_200_50,0.06471
23,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_10,0.06469
24,ud_pipe_nazev_anotace_stopwords,word2vec_200_10,0.06415
25,ud_pipe_nazev_anotace_stopwords,word2vec_200_25,0.06366
26,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_25,0.06359
27,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_25,0.06301
28,ud_pipe_nazev_anotace_stopwords,word2vec_200_5,0.06227
29,ud_pipe_nazev_anotace_stopwords,word2vec_200_50,0.06221
30,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_50_10,0.06179
31,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,fasttext_50_5,0.06120
32,ud_pipe_czech_text,word2vec_200_100,0.06097
33,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_50,0.06074
34,ud_pipe_nazev_anotace_stopwords,fasttext_200_25,0.06038
35,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_25,0.05951
36,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_200_10,0.05947
37,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_5,0.05882
38,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,doc2vec_100_50,0.05864
39,tf_w2v_d2v_fast_cz_nolemma_naz_anot_obor_uc_res_pos_2,word2vec_50_10,0.05854
